game_date,player_name,shirt_no,role
1921-08-27,Harry Bradshaw,1.0,starter
1921-08-27,John Grainger,2.0,starter
1921-08-27,Tom Stuart,3.0,starter
1921-08-27,Johnny Campbell,4.0,starter
1921-08-27,Charles Milnes,5.0,starter
1921-08-27,Tom Heslop,6.0,starter
1921-08-27,Jimmy Moreton,7.0,starter
1921-08-27,Fred Groves,8.0,starter
1921-08-27,James Hyam,9.0,starter
1921-08-27,John Ford,10.0,starter
1921-08-27,Thomas Hughes,11.0,starter
1921-09-03,Harry Bradshaw,1.0,starter
1921-09-03,Charlie Hayes,2.0,starter
1921-09-03,Tom Stuart,3.0,starter
1921-09-03,Johnny Campbell,4.0,starter
1921-09-03,Charles Milnes,5.0,starter
1921-09-03,Tom Heslop,6.0,starter
1921-09-03,Jimmy Moreton,7.0,starter
1921-09-03,Alfred Robinson,8.0,starter
1921-09-03,Fred Groves,9.0,starter
1921-09-03,John Prentice,10.0,starter
1921-09-03,Thomas Hughes,11.0,starter
1921-09-10,Harry Bradshaw,1.0,starter
1921-09-10,Charlie Hayes,2.0,starter
1921-09-10,Tom Stuart,3.0,starter
1921-09-10,Johnny Campbell,4.0,starter
1921-09-10,Charles Milnes,5.0,starter
1921-09-10,Tom Heslop,6.0,starter
1921-09-10,Jimmy Moreton,7.0,starter
1921-09-10,Alfred Robinson,8.0,starter
1921-09-10,Fred Groves,9.0,starter
1921-09-10,John Prentice,10.0,starter
1921-09-10,Thomas Hughes,11.0,starter
1921-09-17,Harry Bradshaw,1.0,starter
1921-09-17,Charlie Hayes,2.0,starter
1921-09-17,Tom Stuart,3.0,starter
1921-09-17,Johnny Campbell,4.0,starter
1921-09-17,Charles Milnes,5.0,starter
1921-09-17,Peter Fairclough,6.0,starter
1921-09-17,Jimmy Moreton,7.0,starter
1921-09-17,Alfred Robinson,8.0,starter
1921-09-17,Fred Groves,9.0,starter
1921-09-17,John Prentice,10.0,starter
1921-09-17,James Roberts,11.0,starter
