game_date,player_name,min_off,min_on
1965-08-23,Jack Lornie,,75.0
1965-08-23,Mandy Hill,75.0,
1965-10-15,Eddie Stuart,82.0,
1965-10-15,Johnny King,,82.0
1966-01-08,Barry Dyson,73.0,
1966-01-08,Graham Stanley,,73.0
1966-01-14,Jack Lornie,,60.0
1966-01-14,Joe Pritchard,60.0,
1986-09-27,Andy Thorpe,,
1986-09-27,Doug Anderson,46.0,
1986-09-27,Frank Worthington,,46.0
1986-10-11,Frank Worthington,,39.0
1986-10-11,Mark Hughes,39.0,
1987-02-14,Simon Farnworth,,
1987-03-21,Andy Thorpe,,73.0
1987-03-21,Johnny Morrissey,,
1987-03-21,Neil Horwood,73.0,
1987-08-18,Mark McCarrick,,
1987-09-15,Steve Mungall,,
1987-10-17,Chris Malkin,75.0,
1987-10-17,Dave Higgins,,75.0
1987-10-17,Mark Hughes,75.0,
1987-10-17,Steve Craven,,75.0
1987-10-30,Dave Higgins,,29.0
1987-10-30,Mark Hughes,29.0,
1987-10-30,Ronnie Moore,78.0,
1987-10-30,Steve Craven,,78.0
1988-09-05,Mark McCarrick,,90.0
1988-09-05,Dave Higgins,50.0,
1988-10-24,Mark Hughes,,
1988-10-24,Mark McCarrick,,
1988-11-12,Johnny Morrissey,,
1988-12-13,Chris Malkin,,80.0
1988-12-13,Johnny Morrissey,80.0,
1989-02-18,Johnny Morrissey,,
1989-03-13,Eddie Bishop,,
1989-03-17,Eddie Murray,,65.0
1989-03-17,Mark Hughes,65.0,
1990-02-06,Eddie Bishop,,83.0
1990-02-06,Jimmy Harvey,83.0,
1990-02-09,Johnny Morrissey,57.0,
1990-02-09,Chris Malkin,,57.0
1990-02-17,Neil McNab,,
1990-04-14,Eddie Bishop,,
1990-04-20,David Fairclough,,67.0
1990-04-20,Steve Mungall,67.0,
1990-04-23,David Fairclough,,73.0
1990-04-23,Eddie Bishop,,80.0
1990-04-23,Jimmy Harvey,80.0,
1990-04-23,Mark Hughes,73.0,
1990-05-05,Dave Higgins,,
1990-05-05,Ian Muir,68.0,
1990-05-05,Johnny Morrissey,,68.0
1990-05-27,Steve Mungall,77.0,
1990-05-27,Jimmy Harvey,68.0,
1990-05-27,David Fairclough,,77.0
1990-05-27,Eddie Bishop,,68.0
1990-08-31,Dave Martindale,,67.0
1990-08-31,Kenny Irons,,80.0
1990-08-31,Mark Hughes,80.0,
1990-08-31,Mark McCarrick,67.0,
