manager_name,date_from,date_to,role
Bert Cooke,1921-08-27,1935-04-30,Secretary/Manager
Jack Carr,1935-07-02,1936-10-22,Manager
No manager,1936-10-23,1936-11-30,Manager
Jim Knowles,1936-12-01,1939-01-18,Secretary/Manager
Jimmy Morton,1939-01-18,1942-02-28,Manager
Bill Ridding,1942-03-02,1946-07-19,Manager
Tommy Jones,1946-08-10,1946-09-15,Manager
Ernie Blackburn,1946-09-16,1955-12-12,Secretary/Manager
Noel Kelly,1955-12-13,1956-11-12,Manager
Ernie Blackburn,1956-11-12,1957-10-04,Manager
Peter Farrell,1957-10-05,1960-12-12,Manager
No manager,1960-12-13,1961-01-06,Manager
Walter Galbraith,1961-01-07,1961-12-08,Manager
No manager,1961-12-09,1961-12-13,Manager
Dave Russell,1961-12-14,1969-12-22,Manager
Jackie Wright,1969-12-23,1972-04-09,Manager
Ron Yeats,1972-04-10,1975-04-03,Manager
John King,1975-04-04,1980-09-05,Manager
No manager,1980-09-06,1980-09-30,Manager
Bryan Hamilton,1980-10-01,1985-02-07,Manager
Ray Mathias,1985-02-08,1985-07-07,Caretaker
Frank Worthington,1985-07-08,1987-02-12,Manager
Ronnie Moore,1987-02-13,1987-04-12,Manager
John King,1987-04-13,1996-04-12,Manager
John Aldridge,1996-04-12,2001-03-17,Manager
Kevin Sheedy,2001-03-18,2001-05-07,Caretaker
Ray Mathias,2001-03-18,2001-05-07,Caretaker
Dave Watson,2001-05-20,2002-08-01,Manager
Ray Mathias,2002-08-01,2003-09-29,Manager
John McMahon,2003-09-29,2003-10-12,Caretaker
Brian Little,2003-10-12,2006-05-05,Manager
Jason McAteer,2006-05-05,2006-05-07,Caretaker
John McMahon,2006-05-05,2006-05-07,Caretaker
Ronnie Moore,2006-06-09,2009-06-05,Manager
John Barnes,2009-06-14,2009-10-09,Manager
Les Parry,2009-10-09,2012-03-04,Manager
Ronnie Moore,2012-03-04,2014-04-08,Manager
John McMahon,2014-04-08,2014-05-27,Caretaker
Rob Edwards,2014-05-27,2014-10-13,Manager
Mickey Adams,2014-10-16,2015-04-19,Manager
Alan Rogers,2015-04-23,2015-05-05,Caretaker
Gary Brabin,2015-05-05,2016-09-18,Manager
Paul Carden,2016-09-18,2016-10-07,Caretaker
Micky Mellon,2016-10-07,2020-07-18,Manager
Michael Jackson,2020-07-18,2020-11-01,Manager
Ian Dawes,2020-11-01,2020-11-22,Caretaker
Keith Hill,2020-11-22,2021-05-17,Manager
Ian Dawes,2021-05-17,2021-05-24,Manager
Micky Mellon,2021-06-01,2023-03-19,Manager
Ian Dawes,2023-03-20,2023-05-04,Caretaker
Ian Dawes,2023-05-04,2024-04-27,Manager
