game_date,player_name,min_so
1986-09-27,Andy Thorpe,90.0
1986-10-11,Frank Worthington,77.0
1987-02-14,Simon Farnworth,87.0
1987-03-21,Johnny Morrissey,43.0
1987-08-18,Mark McCarrick,44.0
1987-09-15,Steve Mungall,64.0
1988-10-24,Mark McCarrick,53.0
1988-10-24,Mark Hughes,71.0
1988-11-12,Johnny Morrissey,63.0
1989-02-18,Johnny Morrissey,71.0
1989-03-13,Eddie Bishop,25.0
1990-02-17,Neil McNab,17.0
1990-04-14,Eddie Bishop,85.0
1990-05-05,Dave Higgins,49.0
1990-10-20,Mark Hughes,34.0
1990-11-03,Eddie Bishop,35.0
1990-12-29,Neil McNab,90.0
1991-02-26,Eric Nixon,43.0
1991-08-27,Mark Hughes,50.0
1991-10-04,Dave Martindale,85.0
1991-10-12,Dave Higgins,71.0
1991-12-28,John Aldridge,55.0
1992-01-04,Dave Higgins,43.0
1992-04-04,Dave Higgins,81.0
1992-12-16,Neil McNab,80.0
1993-01-02,John Aldridge,71.0
1993-03-06,Ged Brannan,88.0
1993-05-08,Danny Coyne,38.0
1993-08-28,Chris Malkin,30.0
1993-08-28,Ian Nolan,85.0
1994-02-05,Eric Nixon,73.0
1994-04-12,Johnny Morrissey,44.0
1994-05-18,Eric Nixon,90.0
1995-02-11,Shaun Garnett,40.0
1995-09-09,Shaun Teale,57.0
1996-04-27,Dave Higgins,37.0
1996-08-17,Alan Rogers,69.0
1997-01-14,John Aldridge,78.0
1997-01-18,Dave Higgins,34.0
1997-02-07,Pat Nevin,88.0
1998-03-14,Graham Branch,85.0
1998-08-08,Clint Hill,66.0
1998-09-25,John McGreal,75.0
1998-10-31,John McGreal,90.0
1999-01-16,Andy Thompson,86.0
1999-04-10,Clint Hill,45.0
1999-08-21,Andy Thompson,74.0
1999-08-28,Clint Hill,45.0
1999-08-30,Georges Santos,24.0
1999-11-23,Clint Hill,16.0
1999-11-27,Graham Allen,35.0
1999-12-04,Gareth Roberts,72.0
2000-01-03,Gareth Roberts,86.0
2000-01-08,Clint Hill,90.0
2000-02-27,Clint Hill,63.0
2000-08-12,Sean Flynn,58.0
2000-08-28,Gareth Roberts,89.0
2000-09-12,Reuben Hazell,45.0
2001-01-06,Gareth Roberts,71.0
2001-03-25,Micky Mellon,90.0
2001-04-24,Jason Koumas,89.0
2001-08-11,Seyni N'Diaye,45.0
2001-08-18,Reuben Hazell,87.0
2001-09-15,Graham Allen,90.0
2001-10-09,Micky Mellon,33.0
2001-11-20,Seyni N'Diaye,22.0
2002-01-12,Graham Allen,53.0
2002-03-02,Clint Hill,15.0
2002-09-17,Simon Haworth,77.0
2002-10-05,Simon Haworth,66.0
2002-10-29,Graham Allen,83.0
2002-11-26,John Achterberg,72.0
2002-12-21,Ryan Taylor,45.0
2002-12-21,Graham Allen,87.0
2003-08-30,Eugene Dadi,81.0
2003-09-16,Graham Allen,61.0
2003-12-13,Danny Harrison,41.0
2004-01-31,Micky Mellon,44.0
2004-05-08,Ian Sharps,60.0
2004-08-10,Chris Dagnall,69.0
2004-09-18,Mike Jackson,80.0
2004-11-13,Calvin Zola,74.0
2005-02-05,Gareth Roberts,81.0
2005-03-28,Eugene Dadi,33.0
2006-01-02,Steve Davies,90.0
2006-02-03,Calvin Zola,20.0
2006-04-08,Mike Jackson,84.0
2006-04-17,Stephen O'Leary,25.0
2006-04-22,Jason McAteer,35.0
2007-02-03,John Mullin,90.0
2007-03-24,Ian Goodison,66.0
2007-04-07,John Mullin,52.0
2007-04-07,Jason McAteer,53.0
2007-04-28,Gavin Ward,21.0
2007-11-10,Craig Curran,90.0
2007-11-17,Carl Tremarco,47.0
2008-01-01,Ian Goodison,65.0
2008-01-08,Shane Cansdell-Sherriff,50.0
2008-02-23,Steven Jennings,45.0
2008-04-05,Ben Chorley,40.0
2008-05-03,Ian Goodison,80.0
2008-10-28,Andy Taylor,86.0
2008-11-15,Steven Jennings,83.0
2009-02-28,Ian Goodison,59.0
2009-04-13,Ian Goodison,72.0
2009-05-02,Gareth Edds,87.0
2009-09-05,Shaleum Logan,46.0
2009-10-03,Marlon Broomes,84.0
2009-10-12,Luke Daniels,65.0
2009-10-24,Charlie Barnett,89.0
2010-01-30,Zoumana Bakayogo,90.0
2010-03-13,Zoumana Bakayogo,90.0
2010-03-27,Andy Robinson,78.0
2010-04-05,Terry Gornell,35.0
2010-10-30,Zoumana Bakayogo,70.0
2010-11-20,Joss Labadie,75.0
2011-01-01,Marlon Broomes,24.0
2011-08-16,David Raven,90.0
2011-08-16,David Buchanan,90.0
2011-10-29,Jose Baxter,63.0
2012-04-21,Owain Fon Williams,72.0
2013-02-02,Jean-Louis Akpa Akpro,36.0
2013-02-15,Liam Palmer,6.0
2013-08-17,Danny Holmes,33.0
2013-08-24,Andrai Jones,38.0
2013-09-28,Liam Ridehalgh,32.0
2013-10-19,Ian Goodison,64.0
2013-11-23,Ash Taylor,78.0
2013-12-20,Jim McNulty,56.0
2014-01-01,James Wallace,45.0
2014-05-03,Junior Brown,31.0
2014-11-08,George Donnelly,62.0
2014-12-26,Liam Ridehalgh,23.0
2015-03-17,Steven Jennings,79.0
2015-09-05,Ritchie Sutton,72.0
2015-10-10,Lois Maynard,50.0
2015-10-27,Scott Davies,14.0
2016-09-13,Jeff Hughes,54.0
2016-10-01,Michael Ihiekwe,54.0
2016-10-25,James Norwood,90.0
2016-11-12,Ben Tollitt,64.0
2017-02-11,Adam Buxton,56.0
2017-08-05,Steve McNulty,54.0
2017-08-05,James Norwood,85.0
2017-09-16,James McEveley,48.0
2017-11-15,Jay Harris,25.0
2018-01-13,Andy Cook,81.0
2018-05-12,Liam Ridehalgh,1.0
2018-08-18,Jay Harris,18.0
2018-10-02,James Norwood,90.0
2019-01-26,Ollie Banks,37.0
2019-08-03,Rushian Hepburn-Murphy,90.0
2019-08-20,Corey Blackett-Taylor,48.0
2019-08-20,Ollie Banks,57.0
2019-10-05,Connor Jennings,45.0
2019-11-20,Kane Wilson,41.0
2019-12-14,Corey Blackett-Taylor,40.0
2020-01-29,Emmanuel Monthe,84.0
2020-10-17,Paul Lewis,52.0
2021-04-13,Jay Spearing,74.0
2021-08-07,Chris Merrie,86.0
2021-09-18,Jay Spearing,45.0
2021-09-25,Calum MacDonald,87.0
2021-12-11,Callum McManaman,90.0
2022-04-02,Calum MacDonald,40.0
2022-04-02,Kieron Morris,90.0
2022-11-12,Jordan Turnbull,90.0
2022-11-19,Dynel Simeu,30.0
2022-12-29,Paul Lewis,76.0
