game_date,shirt_no,player_name,on_for,off_for
1965-08-23,7.0,Mandy Hill,,12.0
1965-08-23,12.0,Jack Lornie,7.0,
1965-10-15,5.0,Eddie Stuart,,12.0
1965-10-15,12.0,Johnny King,5.0,
1966-01-08,9.0,Barry Dyson,,12.0
1966-01-08,12.0,Graham Stanley,9.0,
1966-01-14,4.0,Joe Pritchard,,12.0
1966-01-14,12.0,Jack Lornie,4.0,
1966-04-23,8.0,Jack Lornie,,12.0
1966-04-23,12.0,Barrie Martin,8.0,
1966-08-24,11.0,Roy Sinclair,,12.0
1966-08-24,12.0,Jimmy Harris,11.0,
1966-09-10,4.0,Barry Ashworth,,12.0
1966-09-10,12.0,Roy Sinclair,4.0,
1966-09-16,12.0,Barrie Martin,5.0,
1966-09-16,5.0,Stan Storton,,12.0
1966-10-14,2.0,Roy Parnell,,12.0
1966-10-14,12.0,Stan Storton,2.0,
1966-10-17,10.0,Kenny Beamish,,12.0
1966-10-17,12.0,Roy Sinclair,10.0,
1966-10-22,9.0,Brian Westlake,,12.0
1966-10-22,12.0,Barrie Martin,9.0,
1966-12-03,7.0,Mandy Hill,,12.0
1966-12-03,12.0,Brian Westlake,7.0,
1966-12-27,3.0,Barrie Martin,,12.0
1966-12-27,12.0,Bruce Crawford,3.0,
1966-12-30,7.0,Joe Pritchard,,12.0
1966-12-30,12.0,Bruce Crawford,7.0,
1967-02-17,12.0,Barrie Martin,10.0,
1967-02-17,10.0,Joe Pritchard,,12.0
1967-03-11,6.0,Alan King,,12.0
1967-03-11,12.0,Roy Sinclair,6.0,
1967-03-24,10.0,Joe Pritchard,,12.0
1967-03-24,12.0,Dennis Stevens,10.0,
1967-05-17,7.0,Mandy Hill,,12.0
1967-05-17,12.0,Roy Sinclair,7.0,
1967-08-25,4.0,Alan King,,12.0
1967-08-25,12.0,Teddie Robertson,4.0,
1967-09-16,9.0,George Yardley,,12.0
1967-09-16,12.0,Dennis Stevens,9.0,
1967-10-03,2.0,Johnny King,,12.0
1967-10-03,12.0,Dennis Stevens,2.0,
1967-10-07,12.0,Kenny Beamish,3.0,
1967-10-07,3.0,Teddie Robertson,,12.0
1967-10-13,7.0,John MacNamee,,12.0
1967-10-13,12.0,George Hudson,7.0,
1967-10-23,9.0,George Yardley,,12.0
1967-10-23,12.0,Ray Pointon,9.0,
1967-11-10,2.0,Stan Storton,,12.0
1967-11-10,12.0,Roy Sinclair,2.0,
1967-11-13,4.0,Joe Pritchard,,12.0
1967-11-13,12.0,Dennis Stevens,4.0,
1967-11-18,7.0,Kenny Beamish,,12.0
1967-11-18,12.0,Mandy Hill,7.0,
1967-12-23,7.0,Mandy Hill,,12.0
1967-12-23,12.0,Teddie Robertson,7.0,
1968-01-19,10.0,George Hudson,,12.0
1968-01-19,12.0,John MacNamee,10.0,
1968-02-21,12.0,Gerry Casey,4.0,
1968-02-21,4.0,Dennis Stevens,,12.0
1968-02-23,7.0,John MacNamee,,12.0
1968-02-23,12.0,Kenny Beamish,7.0,
1968-03-05,9.0,George Yardley,,12.0
1968-03-05,12.0,Gerry Casey,9.0,
1968-03-09,9.0,George Hudson,,12.0
1968-03-09,12.0,Gerry Casey,9.0,
1968-03-15,9.0,Joe Pritchard,,12.0
1968-03-15,12.0,John MacNamee,9.0,
1968-03-20,6.0,Alan King,,12.0
1968-03-20,12.0,Gerry Casey,6.0,
1968-04-06,7.0,John MacNamee,,12.0
1968-04-06,12.0,Stan Storton,7.0,
1968-04-12,12.0,Graham Williams,9.0,
1968-04-12,9.0,Kenny Beamish,,12.0
1968-04-13,3.0,Barrie Martin,,12.0
1968-04-13,12.0,Stan Storton,3.0,
1968-05-11,7.0,John MacNamee,,12.0
1968-05-11,12.0,Johnny King,7.0,
1969-08-09,8.0,Joe Pritchard,,12.0
1969-08-09,12.0,Stan Storton,8.0,
1969-08-30,10.0,Derek Smith,,12.0
1969-08-30,12.0,Ray Mathias,10.0,
1969-09-15,10.0,Derek Smith,,12.0
1969-09-15,12.0,John MacNamee,10.0,
1969-09-30,6.0,Dave Moorcroft,,12.0
1969-09-30,12.0,Derek Smith,6.0,
1969-10-04,12.0,George Scott,8.0,
1969-10-04,8.0,Joe Pritchard,,12.0
1969-10-11,12.0,Stan Storton,2.0,
1969-10-11,2.0,Ray Pointon,,12.0
1969-10-18,5.0,Tony Knapp,,12.0
1969-10-18,12.0,Stan Storton,5.0,
1969-10-25,9.0,George Yardley,,12.0
1969-10-25,12.0,John MacNamee,9.0,
1969-11-22,8.0,George Scott,,12.0
1969-11-22,12.0,Joe Pritchard,8.0,
1969-11-24,8.0,Joe Pritchard,,12.0
1969-11-24,12.0,Trevor Storton,8.0,
1969-11-29,11.0,Paul Crossley,,12.0
1969-11-29,12.0,John MacNamee,11.0,
1969-12-06,2.0,Stan Storton,,12.0
1969-12-06,12.0,David Kennedy,2.0,
1969-12-13,12.0,Ray Pointon,11.0,
1969-12-13,11.0,Paul Crossley,,12.0
1969-12-20,9.0,Derek Smith,,12.0
1969-12-20,12.0,Dave Moorcroft,9.0,
1969-12-26,7.0,David Kennedy,,12.0
1969-12-26,12.0,Ray Mathias,7.0,
1970-01-24,11.0,John MacNamee,,12.0
1970-01-24,12.0,George Scott,11.0,
1970-01-27,6.0,Eric Brodie,,12.0
1970-01-27,12.0,John MacNamee,6.0,
1970-01-31,9.0,George Yardley,,12.0
1970-01-31,12.0,David Kennedy,9.0,
1970-02-21,8.0,George Scott,,12.0
1970-02-21,12.0,Joe Pritchard,8.0,
1970-02-25,7.0,David Kennedy,,12.0
1970-02-25,12.0,Ray Mathias,7.0,
1970-02-28,8.0,George Scott,,12.0
1970-02-28,12.0,Ray Mathias,8.0,
1970-03-06,12.0,Jimmy Hinch,3.0,
1970-03-06,3.0,Frank Gill,,12.0
1970-03-16,10.0,Derek Smith,,12.0
1970-03-16,12.0,Jimmy Hinch,10.0,
1970-03-27,8.0,George Scott,,12.0
1970-03-27,12.0,Ray Pointon,8.0,
1970-03-28,9.0,George Yardley,,12.0
1970-03-28,12.0,Derek Smith,9.0,
1970-03-31,10.0,Jimmy Hinch,,12.0
1970-03-31,12.0,Derek Smith,10.0,
1970-04-03,10.0,Jimmy Hinch,,12.0
1970-04-03,12.0,Derek Smith,10.0,
1970-04-08,9.0,George Yardley,,12.0
1970-04-08,12.0,Paul Crossley,9.0,
1970-04-24,12.0,Paul Crossley,10.0,
1970-04-24,10.0,Jimmy Hinch,,12.0
1970-09-02,7.0,Kenny Beamish,,12.0
1970-09-02,12.0,John Dempsey,7.0,
1970-09-09,11.0,Frank Gill,,12.0
1970-09-09,12.0,Malcolm Moore,11.0,
1970-09-12,7.0,Kenny Beamish,,12.0
1970-09-12,12.0,Malcolm Moore,7.0,
1970-09-18,10.0,Jimmy Hinch,,12.0
1970-09-18,12.0,Malcolm Moore,10.0,
1970-09-25,11.0,Frank Gill,,12.0
