game_date,player_name,shirt_no,role
2012-08-18,Owain Fon Williams,1,starter
2012-08-18,Andy Robinson,10,starter
2012-08-18,Zoumana Bakayogo,14,starter
2012-08-18,Danny Holmes,2,starter
2012-08-18,Ben Gibson,21,starter
2012-08-18,Jean-Louis Akpa Akpro,26,starter
2012-08-18,Ash Taylor,4,starter
2012-08-18,Liam Palmer,6,starter
2012-08-18,Joe Thompson,7,starter
2012-08-18,James Wallace,8,starter
2012-08-18,Jake Cassidy,9,starter
2012-08-18,Danny Harrison,12,sub
2012-08-18,Jake Kirby,15,sub
2012-08-18,Cole Stockton,16,sub
2012-08-18,Max Power,17,sub
2012-08-18,Michael Kay,19,sub
2012-08-18,Abdulai Bell-Baggie,22,sub
2012-08-18,Jason Mooney,33,sub
2012-08-21,Owain Fon Williams,1,starter
2012-08-21,Andy Robinson,10,starter
2012-08-21,Zoumana Bakayogo,14,starter
2012-08-21,Danny Holmes,2,starter
2012-08-21,Ben Gibson,21,starter
2012-08-21,Jean-Louis Akpa Akpro,26,starter
2012-08-21,Ash Taylor,4,starter
2012-08-21,Liam Palmer,6,starter
2012-08-21,Joe Thompson,7,starter
2012-08-21,James Wallace,8,starter
2012-08-21,Jake Cassidy,9,starter
2012-08-21,Danny Harrison,12,sub
2012-08-21,Jake Kirby,15,sub
2012-08-21,Cole Stockton,16,sub
2012-08-21,Max Power,17,sub
2012-08-21,Michael Kay,19,sub
2012-08-21,Abdulai Bell-Baggie,22,sub
2012-08-21,Jason Mooney,33,sub
2012-08-25,Owain Fon Williams,1,starter
2012-08-25,Andy Robinson,10,starter
2012-08-25,Zoumana Bakayogo,14,starter
2012-08-25,Danny Holmes,2,starter
2012-08-25,Ben Gibson,21,starter
2012-08-25,Jean-Louis Akpa Akpro,26,starter
2012-08-25,Ash Taylor,4,starter
2012-08-25,Liam Palmer,6,starter
2012-08-25,Joe Thompson,7,starter
2012-08-25,James Wallace,8,starter
2012-08-25,Jake Cassidy,9,starter
2012-08-25,Danny Harrison,12,sub
2012-08-25,Jake Kirby,15,sub
2012-08-25,Cole Stockton,16,sub
2012-08-25,Max Power,17,sub
2012-08-25,Michael Kay,19,sub
2012-08-25,Abdulai Bell-Baggie,22,sub
2012-08-25,Jason Mooney,33,sub
2012-09-01,Owain Fon Williams,1,starter
2012-09-01,Andy Robinson,10,starter
2012-09-01,Zoumana Bakayogo,14,starter
2012-09-01,Danny Holmes,2,starter
2012-09-01,Ben Gibson,21,starter
2012-09-01,Abdulai Bell-Baggie,22,starter
2012-09-01,Roman Golobart,23,starter
2012-09-01,Jean-Louis Akpa Akpro,26,starter
2012-09-01,Liam Palmer,6,starter
2012-09-01,James Wallace,8,starter
2012-09-01,Jake Cassidy,9,starter
2012-09-01,Adam McGurk,11,sub
2012-09-01,Danny Harrison,12,sub
2012-09-01,Jake Kirby,15,sub
2012-09-01,Cole Stockton,16,sub
2012-09-01,Max Power,17,sub
2012-09-01,Michael Kay,19,sub
2012-09-01,Jason Mooney,33,sub
