game_date,player_name,min_so,card_inj_time
2013-02-02,Jean-Louis Akpa Akpro,36,0
2013-02-15,Liam Palmer,6,0
2013-08-17,Danny Holmes,33,0
2013-08-24,Andrai Jones,38,0
2013-09-28,Liam Ridehalgh,32,0
2013-10-19,Ian Goodison,64,0
2013-11-23,Ash Taylor,78,0
2013-12-20,Jim McNulty,56,0
2014-01-01,James Wallace,45,0
2014-05-03,Junior Brown,31,0
2014-11-08,George Donnelly,62,0
2014-12-26,Liam Ridehalgh,23,0
2015-03-17,Steven Jennings,79,0
2015-09-05,Ritchie Sutton,72,0
2015-10-10,Lois Maynard,50,0
2016-09-13,Jeff Hughes,54,0
2016-10-01,Michael Ihiekwe,54,0
2016-10-25,James Norwood,90,5
2016-11-12,Ben Tollitt,64,0
2017-02-11,Adam Buxton,56,0
2017-08-05,Steve McNulty,54,0
2017-08-05,James Norwood,85,0
2017-09-16,James McEveley,48,0
2017-11-15,Jay Harris,25,0
2018-01-13,Andy Cook,81,0
2018-05-12,Liam Ridehalgh,1,0
2018-08-18,Jay Harris,17,0
2018-10-02,James Norwood,90,3
2019-01-26,Ollie Banks,37,0
2019-08-03,Rushian Hepburn-Murphy,90,4
2019-08-20,Corey Blackett-Taylor,48,0
2019-08-20,Ollie Banks,57,0
2019-10-05,Connor Jennings,45,3
2019-11-20,Kane Wilson,41,0
2019-12-14,Corey Blackett-Taylor,40,0
2020-01-29,Emmanuel Monthe,84,0
2020-10-17,Paul Lewis,52,0
2021-04-13,Jay Spearing,74,0
2021-08-07,Chris Merrie,86,0
2021-09-18,Jay Spearing,45,1
2021-09-25,Calum MacDonald,87,0
2021-12-11,Callum McManaman,90,4
2022-04-02,Calum MacDonald,40,0
2022-04-02,Kieron Morris,90,1
2022-11-12,Jordan Turnbull,90,5
2022-11-19,Dynel Simeu,30,0
2022-12-29,Paul Lewis,76,0
