game_date,player_name,min_off,min_on,added_time
2012-08-18,Andy Robinson,76,,0
2012-08-18,Abdulai Bell-Baggie,,76,0
2012-08-18,Jean-Louis Akpa Akpro,82,,0
2012-08-18,Cole Stockton,,82,0
2012-08-21,Andy Robinson,73,,0
2012-08-21,Abdulai Bell-Baggie,,73,0
2012-08-21,Joe Thompson,82,,0
2012-08-21,Max Power,,82,0
2012-08-21,Jean-Louis Akpa Akpro,71,,0
2012-08-21,Cole Stockton,,71,0
2012-08-25,Cole Stockton,,63,0
2012-08-25,Jake Cassidy,63,,0
2012-08-25,Joe Thompson,63,,0
2012-08-25,Abdulai Bell-Baggie,,63,0
2012-09-01,Andy Robinson,78,,0
2012-09-01,Jake Kirby,,78,0
2012-09-01,Jake Cassidy,83,,0
2012-09-01,Cole Stockton,,83,0
2012-09-08,Abdulai Bell-Baggie,73,,0
2012-09-08,Adam McGurk,,73,0
2012-09-15,Joe Thompson,,73,0
2012-09-15,Jake Kirby,,90,0
2012-09-15,Abdulai Bell-Baggie,73,,0
2012-09-15,Danny Harrison,,85,0
2012-09-15,Andy Robinson,85,,0
2012-09-15,James Wallace,90,,0
2012-09-18,Andy Robinson,87,,0
2012-09-18,Jake Kirby,,87,0
2012-09-18,Abdulai Bell-Baggie,64,,0
2012-09-18,Joe Thompson,,64,0
2012-09-18,Jean-Louis Akpa Akpro,79,,0
2012-09-18,Cole Stockton,,79,0
2012-09-22,Andy Robinson,90,,1
2012-09-22,Michael Kay,,90,1
2012-09-22,Joe Thompson,71,,0
2012-09-22,Danny Harrison,,71,0
2012-09-29,Danny Harrison,,88,0
2012-09-29,James Wallace,88,,0
2012-09-29,Joe Thompson,85,,0
2012-09-29,Adam McGurk,,85,0
2012-10-02,Andy Robinson,22,,0
2012-10-02,Adam McGurk,,22,0
2012-10-06,Jean-Louis Akpa Akpro,18,,0
2012-10-06,Joe Thompson,,18,0
2012-10-13,Joe Thompson,46,,0
2012-10-13,Cole Stockton,,46,0
2012-10-13,Adam McGurk,86,,0
2012-10-13,Paul Black,,86,0
2012-10-20,Jake Jervis,73,,0
2012-10-20,Paul Black,,73,0
2012-10-20,Abdulai Bell-Baggie,89,,0
2012-10-20,Joe Thompson,,89,0
2012-10-23,Cole Stockton,,77,0
2012-10-23,Adam McGurk,77,,0
2012-10-23,Joe Thompson,,70,0
2012-10-23,Andy Robinson,70,,0
2012-10-27,Adam McGurk,61,,0
2012-10-27,Cole Stockton,,61,0
2012-10-27,Nathan Eccleston,80,,0
2012-10-27,Joe Thompson,,80,0
2012-11-07,Abdulai Bell-Baggie,36,,0
2012-11-07,Adam McGurk,,36,0
2012-11-07,Jake Jervis,74,,0
2012-11-07,Cole Stockton,,74,0
2012-11-10,Cole Stockton,,83,0
2012-11-10,Danny Harrison,,77,0
2012-11-10,Jake Jervis,83,,0
2012-11-10,Michael Kay,,14,0
2012-11-10,Danny Holmes,14,,0
2012-11-10,Joe Thompson,77,,0
2012-11-16,Adam McGurk,90,,0
2012-11-16,Cole Stockton,,90,0
2012-11-16,Jake Jervis,46,,0
2012-11-16,Danny Harrison,,46,0
2012-11-20,Liam Palmer,86,,0
2012-11-20,Max Power,,86,0
2012-11-20,Cole Stockton,64,,0
2012-11-20,Paul Black,,64,0
2012-11-20,Adam McGurk,79,,0
2012-11-20,Jake Kirby,,79,0
2012-11-24,Paul Black,,86,0
2012-11-24,Andy Robinson,86,,0
2012-12-08,Cole Stockton,,72,0
2012-12-08,Adam McGurk,72,,0
2012-12-15,Andy Robinson,77,,0
2012-12-15,Joe Thompson,,77,0
2012-12-21,Zoumana Bakayogo,90,,3
2012-12-21,Paul Black,,90,3
2012-12-21,Danny Holmes,46,,0
2012-12-21,Michael Kay,,46,0
2012-12-21,Ian Goodison,46,,0
2012-12-21,Donervon Daniels,,46,0
2012-12-26,Andy Robinson,87,,0
2012-12-26,Joe Thompson,,87,0
2012-12-29,Adam McGurk,87,,0
2012-12-29,Joe Thompson,,87,0
2012-12-29,Michael O'Halloran,46,,0
2012-12-29,Cole Stockton,,46,0
2013-01-01,Andy Robinson,85,,0
2013-01-01,Joe Thompson,,85,0
2013-01-01,Adam McGurk,77,,0
2013-01-01,Cole Stockton,,77,0
2013-01-12,Andy Robinson,67,,0
2013-01-12,Danny Harrison,,76,0
2013-01-12,Adam McGurk,76,,0
2013-01-12,Jean-Louis Akpa Akpro,,67,0
2013-01-16,Abdulai Bell-Baggie,,77,0
2013-01-16,Cole Stockton,,62,0
2013-01-16,Adam McGurk,,70,0
2013-01-16,Danny Harrison,62,,0
2013-01-16,David Amoo,77,,0
2013-01-16,Michael O'Halloran,70,,0
2013-01-19,Andy Robinson,81,,0
2013-01-19,Abdulai Bell-Baggie,,81,0
2013-01-19,Jean-Louis Akpa Akpro,64,,0
2013-01-19,Cole Stockton,,64,0
2013-01-19,Adam McGurk,82,,0
2013-01-19,Michael O'Halloran,,82,0
2013-02-02,Cole Stockton,,62,0
2013-02-02,David Amoo,62,,0
2013-02-02,Max Power,85,,0
2013-02-02,Abdulai Bell-Baggie,,85,0
2013-02-02,Adam McGurk,76,,0
2013-02-02,Michael O'Halloran,,76,0
2013-02-09,Abdulai Bell-Baggie,,70,0
2013-02-09,David Amoo,70,,0
2013-02-09,Michael O'Halloran,,70,0
2013-02-09,Adam McGurk,70,,0
2013-02-15,Michael O'Halloran,81,,0
2013-02-15,Cole Stockton,69,,0
2013-02-15,Paul Corry,,69,0
2013-02-15,Danny Harrison,,70,0
2013-02-15,David Amoo,,81,0
2013-02-15,Danny Holmes,70,,0
2013-02-19,Abdulai Bell-Baggie,,64,0
2013-02-19,David Amoo,64,,0
2013-02-19,Paul Black,,64,0
2013-02-19,Cole Stockton,64,,0
2013-02-23,Andy Robinson,81,,0
2013-02-23,Paul Black,,81,0
2013-02-23,Mamady Sidibe,69,,0
2013-02-23,Cole Stockton,,69,0
2013-02-26,Abdulai Bell-Baggie,79,,0
2013-02-26,Cole Stockton,,11,0
2013-02-26,Paul Black,,79,0
2013-02-26,Donervon Daniels,,26,0
2013-02-26,Ian Goodison,26,,0
2013-02-26,Andy Robinson,11,,0
2013-03-02,Michael O'Halloran,64,,0
2013-03-02,David Amoo,,65,0
2013-03-02,Liam Palmer,,64,0
2013-03-02,Cole Stockton,,43,0
2013-03-02,Mamady Sidibe,43,,0
2013-03-02,Abdulai Bell-Baggie,65,,0
2013-03-09,Paul Corry,60,,0
2013-03-09,Cole Stockton,,60,0
2013-03-09,Michael O'Halloran,20,,0
2013-03-09,David Amoo,,20,0
2013-03-09,Abdulai Bell-Baggie,90,,2
2013-03-09,Danny Harrison,,90,2
2013-03-12,David Amoo,,80,0
2013-03-12,Abdulai Bell-Baggie,80,,0
2013-03-12,Cole Stockton,,63,0
2013-03-12,Donervon Daniels,,56,0
2013-03-12,Ian Goodison,56,,0
2013-03-12,Michael O'Halloran,63,,0
2013-03-16,Zoumana Bakayogo,81,,0
2013-03-16,Cole Stockton,,81,0
2013-03-16,Danny Harrison,63,,0
2013-03-16,Abdulai Bell-Baggie,,63,0
2013-03-24,Zoumana Bakayogo,84,,0
2013-03-24,David Amoo,,84,0
2013-03-24,Abdulai Bell-Baggie,80,,0
2013-03-24,Michael O'Halloran,,80,0
2013-03-29,Adam McGurk,,65,0
2013-03-29,Abdulai Bell-Baggie,65,,0
2013-04-01,Zoumana Bakayogo,61,,0
2013-04-01,Cole Stockton,,61,0
2013-04-06,Sean McGinty,74,,0
2013-04-06,Michael O'Halloran,,74,0
2013-04-06,Max Power,89,,0
2013-04-06,Ian Goodison,,89,0
2013-04-06,Abdulai Bell-Baggie,74,,0
2013-04-06,Joe Thompson,,74,0
2013-04-13,Mamady Sidibe,61,,0
2013-04-13,Cole Stockton,,61,0
2013-04-13,Joe Thompson,,61,0
2013-04-13,Michael O'Halloran,,83,0
2013-04-13,Andy Robinson,83,,0
2013-04-13,Abdulai Bell-Baggie,61,,0
2013-04-20,Michael O'Halloran,67,,0
2013-04-20,Abdulai Bell-Baggie,,67,0
2013-04-20,Mamady Sidibe,80,,0
2013-04-20,Cole Stockton,,80,0
2013-04-27,Adam McGurk,,65,0
2013-04-27,Mamady Sidibe,65,,0
2013-04-27,Danny Harrison,,79,0
2013-04-27,Abdulai Bell-Baggie,,65,0
2013-04-27,Andy Robinson,65,,0
2013-04-27,Liam Palmer,79,,0
2013-08-03,Abdulai Bell-Baggie,,80,0
2013-08-03,Jason Koumas,,66,0
2013-08-03,Chris Atkinson,66,,0
2013-08-03,Jean-Louis Akpa Akpro,80,,0
2013-08-06,James Rowe,64,,0
2013-08-06,Akpo Sodje,72,,0
2013-08-06,Jason Koumas,,64,0
2013-08-06,Jean-Louis Akpa Akpro,,72,0
2013-08-10,Max Power,64,,0
2013-08-10,Jason Koumas,,64,0
2013-08-10,Akpo Sodje,58,,0
2013-08-10,Jean-Louis Akpa Akpro,,58,0
2013-08-17,James Rowe,,86,0
2013-08-17,Andrai Jones,,38,0
2013-08-17,Max Power,86,,0
2013-08-17,Jason Koumas,,71,0
2013-08-17,Joe Thompson,38,,0
2013-08-17,Andy Robinson,71,,0
2013-08-24,Steve Foster,46,,0
2013-08-24,Ian Goodison,,46,0
2013-08-24,Abdulai Bell-Baggie,40,,0
2013-08-24,Jason Koumas,,40,0
2013-08-24,Ryan Lowe,64,,0
2013-08-24,Cole Stockton,,64,0
2013-08-27,Chris Atkinson,112,,0
2013-08-27,Abdulai Bell-Baggie,,112,0
2013-08-27,Jake Kirby,,74,0
2013-08-27,Jason Koumas,74,,0
2013-08-31,Ryan Lowe,,71,0
2013-08-31,Akpo Sodje,,88,0
2013-08-31,Jean-Louis Akpa Akpro,88,,0
2013-08-31,Jason Koumas,71,,0
2013-09-03,Akpo Sodje,81,,0
2013-09-03,Jean-Louis Akpa Akpro,,81,0
2013-09-03,Cole Stockton,65,,0
2013-09-03,Jake Kirby,,65,0
2013-09-03,James Rowe,65,,0
2013-09-03,Joe Thompson,,65,0
2013-09-07,Joe Thompson,82,,0
2013-09-07,Ash Taylor,,61,0
2013-09-07,Ian Goodison,61,,0
2013-09-07,Akpo Sodje,,82,0
2013-09-14,Andy Robinson,,78,0
2013-09-14,Joe Thompson,78,,0
2013-09-14,Cole Stockton,,78,0
2013-09-14,Ryan Lowe,78,,0
2013-09-14,Abdulai Bell-Baggie,,90,0
2013-09-14,James Rowe,90,,0
2013-09-21,Joe Thompson,56,,0
2013-09-21,Abdulai Bell-Baggie,,55,0
2013-09-21,James Rowe,55,,0
2013-09-21,Cole Stockton,,56,0
2013-09-25,Abdulai Bell-Baggie,,74,0
2013-09-25,Danny Holmes,,45,0
2013-09-25,Evan Horwood,45,,0
2013-09-25,James Rowe,74,,0
2013-09-28,James Rowe,45,,0
2013-09-28,Max Power,,45,0
2013-09-28,Joe Thompson,33,,0
2013-09-28,Ian Goodison,,33,0
2013-09-28,Akpo Sodje,,70,0
2013-09-28,Cole Stockton,70,,0
2013-10-05,Akpo Sodje,73,,0
2013-10-05,Cole Stockton,,73,0
2013-10-05,James Rowe,,81,0
2013-10-05,Tom Hateley,81,,0
2013-10-05,Abdulai Bell-Baggie,,87,0
2013-10-05,Liam Ridehalgh,87,,0
2013-10-13,Ryan Lowe,90,,2
