game_date,shirt_no,player_name,on_for,off_for
2012-08-18,22,Abdulai Bell-Baggie,10,
2012-08-18,10,Andy Robinson,,22
2012-08-18,16,Cole Stockton,26,
2012-08-18,26,Jean-Louis Akpa Akpro,,16
2012-08-21,22,Abdulai Bell-Baggie,10,
2012-08-21,10,Andy Robinson,,22
2012-08-21,17,Max Power,7,
2012-08-21,7,Joe Thompson,,17
2012-08-21,16,Cole Stockton,26,
2012-08-21,26,Jean-Louis Akpa Akpro,,16
2012-08-25,9,Jake Cassidy,,16
2012-08-25,16,Cole Stockton,9,
2012-08-25,22,Abdulai Bell-Baggie,7,
2012-08-25,7,Joe Thompson,,22
2012-09-01,15,Jake Kirby,10,
2012-09-01,10,Andy Robinson,,15
2012-09-01,16,Cole Stockton,9,
2012-09-01,9,Jake Cassidy,,16
2012-09-08,11,Adam McGurk,22,
2012-09-08,22,Abdulai Bell-Baggie,,11
2012-09-15,22,Abdulai Bell-Baggie,,7
2012-09-15,8,James Wallace,,15
2012-09-15,7,Joe Thompson,22,
2012-09-15,10,Andy Robinson,,12
2012-09-15,12,Danny Harrison,10,
2012-09-15,15,Jake Kirby,8,
2012-09-18,15,Jake Kirby,10,
2012-09-18,10,Andy Robinson,,15
2012-09-18,7,Joe Thompson,22,
2012-09-18,22,Abdulai Bell-Baggie,,7
2012-09-18,16,Cole Stockton,26,
2012-09-18,26,Jean-Louis Akpa Akpro,,16
2012-09-22,19,Michael Kay,10,
2012-09-22,10,Andy Robinson,,19
2012-09-22,12,Danny Harrison,7,
2012-09-22,7,Joe Thompson,,12
2012-09-29,8,James Wallace,,12
2012-09-29,12,Danny Harrison,8,
2012-09-29,11,Adam McGurk,7,
2012-09-29,7,Joe Thompson,,11
2012-10-02,11,Adam McGurk,10,
2012-10-02,10,Andy Robinson,,11
2012-10-06,7,Joe Thompson,26,
2012-10-06,26,Jean-Louis Akpa Akpro,,7
2012-10-13,16,Cole Stockton,7,
2012-10-13,7,Joe Thompson,,16
2012-10-13,3,Paul Black,11,
2012-10-13,11,Adam McGurk,,3
2012-10-20,3,Paul Black,24,
2012-10-20,24,Jake Jervis,,3
2012-10-20,7,Joe Thompson,22,
2012-10-20,22,Abdulai Bell-Baggie,,7
2012-10-23,11,Adam McGurk,,16
2012-10-23,16,Cole Stockton,11,
2012-10-23,10,Andy Robinson,,7
2012-10-23,7,Joe Thompson,10,
2012-10-27,16,Cole Stockton,11,
2012-10-27,11,Adam McGurk,,16
2012-10-27,7,Joe Thompson,25,
2012-10-27,25,Nathan Eccleston,,7
2012-11-07,11,Adam McGurk,22,
2012-11-07,22,Abdulai Bell-Baggie,,11
2012-11-07,16,Cole Stockton,24,
2012-11-07,24,Jake Jervis,,16
2012-11-10,24,Jake Jervis,,16
2012-11-10,7,Joe Thompson,,12
2012-11-10,16,Cole Stockton,24,
2012-11-10,2,Danny Holmes,,19
2012-11-10,19,Michael Kay,2,
2012-11-10,12,Danny Harrison,7,
2012-11-16,16,Cole Stockton,11,
2012-11-16,11,Adam McGurk,,16
2012-11-16,12,Danny Harrison,24,
2012-11-16,24,Jake Jervis,,12
2012-11-20,17,Max Power,6,
2012-11-20,6,Liam Palmer,,17
2012-11-20,3,Paul Black,16,
2012-11-20,16,Cole Stockton,,3
2012-11-20,15,Jake Kirby,11,
2012-11-20,11,Adam McGurk,,15
2012-11-24,10,Andy Robinson,,3
2012-11-24,3,Paul Black,10,
2012-12-08,11,Adam McGurk,,16
2012-12-08,16,Cole Stockton,11,
2012-12-15,7,Joe Thompson,10,
2012-12-15,10,Andy Robinson,,7
2012-12-21,3,Paul Black,14,
2012-12-21,14,Zoumana Bakayogo,,3
2012-12-21,19,Michael Kay,2,
2012-12-21,2,Danny Holmes,,19
2012-12-21,23,Donervon Daniels,5,
2012-12-21,5,Ian Goodison,,23
2012-12-26,7,Joe Thompson,10,
2012-12-26,10,Andy Robinson,,7
2012-12-29,7,Joe Thompson,11,
2012-12-29,11,Adam McGurk,,7
2012-12-29,16,Cole Stockton,20,
2012-12-29,20,Michael O'Halloran,,16
2013-01-01,7,Joe Thompson,10,
2013-01-01,10,Andy Robinson,,7
2013-01-01,16,Cole Stockton,11,
2013-01-01,11,Adam McGurk,,16
2013-01-12,26,Jean-Louis Akpa Akpro,10,
2013-01-12,11,Adam McGurk,,12
2013-01-12,12,Danny Harrison,11,
2013-01-12,10,Andy Robinson,,26
2013-01-16,18,David Amoo,,22
2013-01-16,12,Danny Harrison,,16
2013-01-16,20,Michael O'Halloran,,11
2013-01-16,16,Cole Stockton,12,
2013-01-16,22,Abdulai Bell-Baggie,18,
2013-01-16,11,Adam McGurk,20,
2013-01-19,22,Abdulai Bell-Baggie,10,
2013-01-19,10,Andy Robinson,,22
2013-01-19,16,Cole Stockton,26,
2013-01-19,26,Jean-Louis Akpa Akpro,,16
2013-01-19,20,Michael O'Halloran,11,
2013-01-19,11,Adam McGurk,,20
2013-02-02,18,David Amoo,,16
2013-02-02,16,Cole Stockton,18,
2013-02-02,22,Abdulai Bell-Baggie,17,
2013-02-02,17,Max Power,,22
2013-02-02,20,Michael O'Halloran,11,
2013-02-02,11,Adam McGurk,,20
2013-02-09,18,David Amoo,,22
2013-02-09,22,Abdulai Bell-Baggie,18,
2013-02-09,11,Adam McGurk,,20
2013-02-09,20,Michael O'Halloran,11,
2013-02-15,18,David Amoo,20,
2013-02-15,24,Paul Corry,16,
2013-02-15,16,Cole Stockton,,24
2013-02-15,2,Danny Holmes,,12
2013-02-15,20,Michael O'Halloran,,18
2013-02-15,12,Danny Harrison,2,
2013-02-19,18,David Amoo,,22
2013-02-19,22,Abdulai Bell-Baggie,18,
2013-02-19,16,Cole Stockton,,3
2013-02-19,3,Paul Black,16,
2013-02-23,3,Paul Black,10,
2013-02-23,10,Andy Robinson,,3
2013-02-23,16,Cole Stockton,25,
2013-02-23,25,Mamady Sidibe,,16
2013-02-26,3,Paul Black,22,
2013-02-26,10,Andy Robinson,,16
2013-02-26,22,Abdulai Bell-Baggie,,3
2013-02-26,5,Ian Goodison,,23
2013-02-26,23,Donervon Daniels,5,
2013-02-26,16,Cole Stockton,10,
2013-03-02,6,Liam Palmer,20,
2013-03-02,22,Abdulai Bell-Baggie,,18
2013-03-02,20,Michael O'Halloran,,6
2013-03-02,25,Mamady Sidibe,,16
2013-03-02,16,Cole Stockton,25,
2013-03-02,18,David Amoo,22,
2013-03-09,16,Cole Stockton,24,
2013-03-09,24,Paul Corry,,16
2013-03-09,18,David Amoo,20,
2013-03-09,20,Michael O'Halloran,,18
2013-03-09,12,Danny Harrison,22,
2013-03-09,22,Abdulai Bell-Baggie,,12
2013-03-12,22,Abdulai Bell-Baggie,,18
2013-03-12,18,David Amoo,22,
2013-03-12,20,Michael O'Halloran,,16
2013-03-12,5,Ian Goodison,,23
2013-03-12,23,Donervon Daniels,5,
2013-03-12,16,Cole Stockton,20,
2013-03-16,16,Cole Stockton,14,
2013-03-16,14,Zoumana Bakayogo,,16
2013-03-16,22,Abdulai Bell-Baggie,12,
2013-03-16,12,Danny Harrison,,22
2013-03-24,18,David Amoo,14,
2013-03-24,14,Zoumana Bakayogo,,18
2013-03-24,20,Michael O'Halloran,22,
2013-03-24,22,Abdulai Bell-Baggie,,20
2013-03-29,22,Abdulai Bell-Baggie,,11
2013-03-29,11,Adam McGurk,22,
2013-04-01,16,Cole Stockton,14,
2013-04-01,14,Zoumana Bakayogo,,16
2013-04-06,20,Michael O'Halloran,27,
2013-04-06,27,Sean McGinty,,20
2013-04-06,5,Ian Goodison,17,
2013-04-06,17,Max Power,,5
2013-04-06,7,Joe Thompson,22,
2013-04-06,22,Abdulai Bell-Baggie,,7
2013-04-13,16,Cole Stockton,25,
2013-04-13,25,Mamady Sidibe,,16
2013-04-13,22,Abdulai Bell-Baggie,,7
2013-04-13,10,Andy Robinson,,20
2013-04-13,20,Michael O'Halloran,10,
2013-04-13,7,Joe Thompson,22,
2013-04-20,22,Abdulai Bell-Baggie,20,
2013-04-20,20,Michael O'Halloran,,22
2013-04-20,16,Cole Stockton,25,
2013-04-20,25,Mamady Sidibe,,16
2013-04-27,25,Mamady Sidibe,,11
2013-04-27,11,Adam McGurk,25,
2013-04-27,6,Liam Palmer,,12
2013-04-27,10,Andy Robinson,,22
2013-04-27,22,Abdulai Bell-Baggie,10,
2013-04-27,12,Danny Harrison,6,
2013-08-03,,Jean-Louis Akpa Akpro,,
2013-08-03,,Chris Atkinson,,
2013-08-03,,Jason Koumas,,
2013-08-03,,Abdulai Bell-Baggie,,
2013-08-06,22,Jason Koumas,12,
2013-08-06,26,Jean-Louis Akpa Akpro,19,
2013-08-06,12,James Rowe,,22
2013-08-06,19,Akpo Sodje,,26
2013-08-10,,Jason Koumas,,
2013-08-10,,Max Power,,
2013-08-10,,Jean-Louis Akpa Akpro,,
2013-08-10,,Akpo Sodje,,
2013-08-17,17,Max Power,,12
2013-08-17,7,Joe Thompson,,18
2013-08-17,12,James Rowe,17,
2013-08-17,10,Andy Robinson,,22
2013-08-17,18,Andrai Jones,7,
2013-08-17,22,Jason Koumas,10,
2013-08-24,5,Ian Goodison,6,
2013-08-24,6,Steve Foster,,5
2013-08-24,22,Jason Koumas,11,
2013-08-24,11,Abdulai Bell-Baggie,,22
2013-08-24,16,Cole Stockton,9,
2013-08-24,9,Ryan Lowe,,16
2013-08-27,11,Abdulai Bell-Baggie,14,
2013-08-27,14,Chris Atkinson,,11
2013-08-27,22,Jason Koumas,,15
2013-08-27,15,Jake Kirby,22,
2013-08-31,22,Jason Koumas,,9
2013-08-31,26,Jean-Louis Akpa Akpro,,19
2013-08-31,19,Akpo Sodje,26,
2013-08-31,9,Ryan Lowe,22,
2013-09-03,26,Jean-Louis Akpa Akpro,19,
2013-09-03,19,Akpo Sodje,,26
2013-09-03,15,Jake Kirby,16,
2013-09-03,16,Cole Stockton,,15
2013-09-03,7,Joe Thompson,12,
2013-09-03,12,James Rowe,,7
2013-09-07,19,Akpo Sodje,7,
2013-09-07,5,Ian Goodison,,4
2013-09-07,4,Ash Taylor,5,
2013-09-07,7,Joe Thompson,,19
2013-09-14,7,Joe Thompson,,10
2013-09-14,10,Andy Robinson,7,
2013-09-14,9,Ryan Lowe,,16
2013-09-14,16,Cole Stockton,9,
2013-09-14,12,James Rowe,,11
2013-09-14,11,Abdulai Bell-Baggie,12,
2013-09-21,16,Cole Stockton,7,
2013-09-21,12,James Rowe,,11
2013-09-21,11,Abdulai Bell-Baggie,12,
2013-09-21,7,Joe Thompson,,16
2013-09-25,12,James Rowe,,11
2013-09-25,3,Evan Horwood,,2
2013-09-25,2,Danny Holmes,3,
2013-09-25,11,Abdulai Bell-Baggie,12,
2013-09-28,17,Max Power,12,
2013-09-28,12,James Rowe,,17
2013-09-28,5,Ian Goodison,7,
2013-09-28,7,Joe Thompson,,5
2013-09-28,16,Cole Stockton,,19
2013-09-28,19,Akpo Sodje,16,
2013-10-05,16,Cole Stockton,19,
2013-10-05,19,Akpo Sodje,,16
2013-10-05,6,Tom Hateley,,12
2013-10-05,12,James Rowe,6,
2013-10-05,23,Liam Ridehalgh,,11
2013-10-05,11,Abdulai Bell-Baggie,23,
2013-10-13,16,Cole Stockton,9,
2013-10-13,15,Jake Kirby,,11
2013-10-13,11,Abdulai Bell-Baggie,15,
2013-10-13,20,Jim McNulty,,3
2013-10-13,3,Evan Horwood,20,
2013-10-13,9,Ryan Lowe,,16
2013-10-19,19,Akpo Sodje,6,
2013-10-19,11,Abdulai Bell-Baggie,23,
2013-10-19,23,Liam Ridehalgh,,11
2013-10-19,6,Tom Hateley,,19
2013-10-22,12,James Rowe,14,
2013-10-22,14,Chris Atkinson,,12
2013-10-22,11,Abdulai Bell-Baggie,6,
2013-10-22,6,Tom Hateley,,11
2013-10-22,16,Cole Stockton,18,
2013-10-22,18,Steven Jennings,,16
2013-10-26,6,Tom Hateley,,12
2013-10-26,18,Steven Jennings,2,
2013-10-26,12,James Rowe,6,
2013-10-26,2,Danny Holmes,,18
2013-10-26,11,Abdulai Bell-Baggie,,3
2013-10-26,3,Evan Horwood,11,
2013-11-02,22,Jason Koumas,6,
2013-11-02,6,Tom Hateley,,22
2013-11-09,6,Tom Hateley,,26
2013-11-09,16,Cole Stockton,11,
2013-11-09,11,Abdulai Bell-Baggie,,16
2013-11-09,26,Jean-Louis Akpa Akpro,6,
2013-11-16,26,Jean-Louis Akpa Akpro,11,
2013-11-16,11,Abdulai Bell-Baggie,,26
2013-11-23,22,Jason Koumas,,8
2013-11-23,3,Evan Horwood,17,
2013-11-23,17,Max Power,,3
2013-11-23,19,Akpo Sodje,9,
2013-11-23,9,Ryan Lowe,,19
2013-11-23,8,James Wallace,22,
2013-11-26,11,Abdulai Bell-Baggie,15,
2013-11-26,8,James Wallace,17,
2013-11-26,17,Max Power,,8
2013-11-26,15,Jake Kirby,,11
2013-11-26,22,Jason Koumas,,19
2013-11-26,19,Akpo Sodje,22,
2013-11-30,12,James Rowe,8,
2013-11-30,31,Jon Otsemobor,,2
2013-11-30,2,Danny Holmes,31,
2013-11-30,3,Evan Horwood,5,
2013-11-30,8,James Wallace,,12
2013-11-30,5,Ian Goodison,,3
2013-12-07,16,Cole Stockton,26,
2013-12-07,12,James Rowe,15,
2013-12-07,26,Jean-Louis Akpa Akpro,,16
2013-12-07,15,Jake Kirby,,12
2013-12-14,12,James Rowe,14,
2013-12-14,14,Chris Atkinson,,12
2013-12-20,16,Cole Stockton,26,
2013-12-20,26,Jean-Louis Akpa Akpro,,16
2013-12-20,3,Evan Horwood,15,
2013-12-20,15,Jake Kirby,,3
2013-12-20,10,Andy Robinson,25,
2013-12-20,25,Kristoffer Peterson,,10
2013-12-26,10,Andy Robinson,,15
2013-12-26,8,James Wallace,,18
2013-12-26,18,Steven Jennings,8,
2013-12-26,14,Chris Atkinson,,17
2013-12-26,17,Max Power,14,
2013-12-26,15,Jake Kirby,10,
2013-12-29,2,Danny Holmes,,17
2013-12-29,26,Jean-Louis Akpa Akpro,14,
2013-12-29,14,Chris Atkinson,,26
