game_date,player_name,card_min,card_inj_time
2012-08-18,Andy Robinson,69,0
2012-08-18,Owain Fon Williams,89,0
2012-08-21,Liam Palmer,40,0
2012-08-21,Danny Holmes,59,0
2012-09-08,James Wallace,90,2
2012-09-15,Andy Robinson,84,0
2012-09-18,Andy Robinson,62,0
2012-09-22,Ash Taylor,29,0
2012-09-29,Andy Robinson,70,0
2012-10-02,Liam Palmer,70,0
2012-10-13,James Wallace,41,0
2012-10-13,Danny Holmes,79,0
2012-10-20,Zoumana Bakayogo,45,2
2012-10-23,James Wallace,44,0
2012-10-27,Jake Cassidy,20,0
2012-11-07,Andy Robinson,10,0
2012-11-07,Ben Gibson,62,0
2012-11-10,Ash Taylor,40,0
2012-11-10,Liam Palmer,74,0
2012-11-10,Michael Kay,78,0
2012-11-16,Ben Gibson,23,0
2012-11-16,Jake Jervis,24,0
2012-11-20,Ash Taylor,55,0
2012-12-15,Adam McGurk,89,0
2012-12-26,Zoumana Bakayogo,66,0
2013-01-01,Donervon Daniels,75,0
2013-01-12,Donervon Daniels,73,0
2013-01-16,Zoumana Bakayogo,58,0
2013-01-16,Danny Holmes,81,0
2013-01-19,Zoumana Bakayogo,56,0
2013-01-19,Owain Fon Williams,75,0
2013-01-19,Adam McGurk,76,0
2013-01-19,Max Power,90,3
2013-02-02,Danny Holmes,67,0
2013-02-15,Ash Taylor,52,0
2013-02-23,Paul Corry,48,0
2013-02-26,Max Power,88,0
2013-03-02,Zoumana Bakayogo,9,0
2013-03-02,Danny Holmes,58,0
2013-03-02,Ian Goodison,74,0
2013-03-02,David Amoo,80,0
2013-03-09,Ian Goodison,9,0
2013-03-09,Max Power,64,0
2013-03-12,Danny Holmes,51,0
2013-03-12,Max Power,60,0
2013-03-29,Mamady Sidibe,77,0
2013-04-01,Ben Gibson,49,0
2013-04-06,Sean McGinty,53,0
2013-04-06,Ash Taylor,63,0
2013-04-13,Ben Gibson,9,0
2013-04-13,Max Power,21,0
2013-04-20,Michael O'Halloran,34,0
2013-08-03,Jean-Louis Akpa Akpro,37,0
2013-08-03,Max Power,45,0
2013-08-03,Danny Holmes,57,0
2013-08-03,Jason Koumas,88,0
2013-08-03,Evan Horwood,90,0
2013-08-10,Evan Horwood,9,0
2013-08-10,Max Power,28,0
2013-08-10,Andy Robinson,54,0
2013-08-17,Danny Holmes,12,0
2013-08-17,Joe Thompson,16,0
2013-08-24,Chris Atkinson,7,0
2013-08-24,Max Power,49,0
2013-08-24,Ryan Lowe,58,0
2013-08-31,James Rowe,65,0
2013-09-07,Joe Thompson,15,0
2013-09-07,Max Power,81,0
2013-09-14,Jean-Louis Akpa Akpro,80,0
2013-09-14,Andy Robinson,83,0
2013-09-21,James Rowe,5,0
2013-09-21,Tom Hateley,82,0
2013-09-28,Ryan Lowe,25,0
2013-09-28,James Rowe,38,0
2013-10-05,Ryan Lowe,85,0
2013-10-13,Jim McNulty,16,0
2013-10-13,Ian Goodison,27,0
2013-10-13,Owain Fon Williams,83,0
2013-10-19,Liam Ridehalgh,45,2
2013-10-19,Ryan Lowe,78,0
2013-10-22,Cole Stockton,69,0
2013-10-26,Evan Horwood,90,2
2013-11-02,Owain Fon Williams,87,0
2013-11-02,Max Power,90,2
2013-11-09,Jean-Louis Akpa Akpro,88,0
2013-11-16,Jim McNulty,45,0
2013-11-23,Danny Holmes,76,0
2013-11-26,James Wallace,82,0
2013-11-26,Akpo Sodje,82,0
2013-12-14,Ash Taylor,59,0
2013-12-14,Jean-Louis Akpa Akpro,79,0
2013-12-20,Andy Robinson,81,0
2013-12-26,Kristoffer Peterson,74,0
2013-12-26,Liam Ridehalgh,90,3
2013-12-29,Andy Robinson,51,0
2013-12-29,Jean-Louis Akpa Akpro,64,0
2013-12-29,Steven Jennings,78,0
2014-01-01,Kristoffer Peterson,49,0
2014-01-01,Ash Taylor,81,0
2014-01-18,Steven Jennings,23,0
2014-01-18,Matthew Pennington,69,0
2014-01-18,Stephen Arthurworrey,77,0
2014-01-25,Matthew Kennedy,36,0
2014-01-25,Jason Koumas,83,0
2014-02-01,Ash Taylor,62,0
2014-02-01,Ryan Lowe,90,2
2014-02-08,James Wallace,33,0
2014-02-08,Matthew Pennington,90,0
2014-02-15,Steven Jennings,22,0
2014-02-15,Ryan Lowe,29,0
2014-02-15,Stephen Arthurworrey,64,0
2014-02-15,Matthew Pennington,85,0
2014-02-22,James Wallace,35,0
2014-02-22,Ash Taylor,75,0
2014-02-22,Jake Kirby,83,0
2014-03-01,Andy Robinson,3,0
2014-03-01,Ash Taylor,39,0
2014-03-08,Jake Cassidy,87,0
2014-03-11,James Wallace,25,0
2014-03-11,Jake Cassidy,62,0
2014-03-15,Owain Fon Williams,90,4
2014-03-22,Jason Koumas,63,0
2014-03-22,Stephen Arthurworrey,74,0
2014-03-22,Ian Goodison,90,5
2014-03-25,Andy Robinson,89,0
2014-03-29,Jake Cassidy,44,0
2014-03-29,Ian Goodison,90,0
2014-04-05,Stephen Arthurworrey,49,0
2014-04-05,Max Power,87,0
2014-04-05,Danny Holmes,90,1
2014-04-12,Jason Koumas,34,0
2014-04-12,Ryan Lowe,90,1
2014-04-15,James Rowe,90,4
2014-04-26,Steven Jennings,29,0
2014-04-26,Ryan Lowe,68,0
2014-04-26,Owain Fon Williams,69,0
2014-08-16,Cole Stockton,65,0
2014-08-19,Michael Ihiekwe,41,0
2014-08-23,Danny Holmes,58,0
2014-08-30,Kayode Odejayi,64,0
2014-08-30,Max Power,90,2
2014-08-30,Abdulai Bell-Baggie,90,4
2014-09-06,Cole Stockton,65,0
2014-09-13,Matt Gill,57,0
2014-09-13,Max Power,81,0
2014-09-20,Marc Laird,87,0
2014-09-27,Abdulai Bell-Baggie,69,0
2014-10-04,George Donnelly,37,0
2014-10-04,Matt Gill,48,0
2014-10-11,Kayode Odejayi,77,0
2014-10-18,Janoi Donacien,41,0
2014-10-18,George Donnelly,56,0
2014-10-18,Danny Holmes,63,0
2014-10-21,Armand Gnanduillet,14,0
2014-11-01,Steven Jennings,45,0
2014-11-01,Armand Gnanduillet,82,0
2014-11-08,Steven Jennings,40,0
2014-11-15,Max Power,90,2
2014-11-22,Liam Ridehalgh,48,0
2014-11-22,Will Aimson,75,0
2014-11-29,Steven Jennings,53,0
2014-12-13,Liam Ridehalgh,26,0
2014-12-13,Marc Laird,45,1
2014-12-13,Michael Ihiekwe,51,0
2014-12-13,Steven Jennings,76,0
2014-12-16,Michael Ihiekwe,81,0
2014-12-19,Janoi Donacien,29,0
2014-12-19,Marc Laird,63,0
2014-12-26,Max Power,51,0
2015-01-03,Danny Holmes,16,0
2015-01-03,Max Power,64,0
2015-01-24,Shamir Fenelon,42,0
2015-01-31,Josh Thompson,9,0
2015-01-31,Rory Donnelly,79,0
2015-02-07,Jennison Myrie-Williams,88,0
2015-02-07,Owain Fon Williams,90,1
2015-02-07,Rory Donnelly,90,6
2015-02-10,Steven Jennings,44,0
2015-02-10,Danny Holmes,73,0
2015-02-14,Danny Holmes,28,0
2015-02-14,Adam Dugdale,48,0
2015-02-21,Owain Fon Williams,90,5
2015-02-24,Marc Laird,35,0
2015-02-28,Jennison Myrie-Williams,20,0
2015-02-28,Kayode Odejayi,29,0
2015-02-28,Danny Holmes,59,0
2015-03-03,Adam Dugdale,19,0
2015-03-03,Jordan Hugill,37,0
2015-03-03,Kayode Odejayi,70,0
2015-03-03,Michael Ihiekwe,90,5
2015-03-07,Jennison Myrie-Williams,49,0
2015-03-07,Kayode Odejayi,90,6
2015-03-14,Michael Ihiekwe,61,0
2015-03-14,Jennison Myrie-Williams,61,0
2015-03-17,Steven Jennings,29,0
2015-03-17,Marc Laird,50,0
2015-03-17,Dan Gardner,69,0
2015-03-17,Jennison Myrie-Williams,83,0
2015-03-21,Michael Ihiekwe,76,0
2015-03-21,Lee Molyneux,79,0
2015-03-21,Adam Dugdale,90,2
2015-03-28,Rory Donnelly,63,0
2015-03-28,George Green,90,5
2015-03-28,Iain Hume,90,6
2015-04-03,Adam Dugdale,47,0
2015-04-03,Lee Molyneux,76,0
2015-04-03,Kayode Odejayi,90,3
2015-04-03,Max Power,90,4
2015-04-11,Steven Jennings,42,0
2015-04-11,Janoi Donacien,76,0
2015-04-11,Rory Donnelly,84,0
2015-04-14,George Green,20,0
2015-04-14,Max Power,90,5
2015-04-14,Matt Hill,90,5
2015-04-14,Owain Fon Williams,90,7
2015-04-25,Adam Dugdale,18,0
2015-04-25,Michael Ihiekwe,83,0
2015-04-25,Max Power,85,0
2015-05-02,Max Power,15,0
2015-05-02,Jason Koumas,45,2
2015-05-02,Steven Jennings,80,0
2015-08-18,Ritchie Sutton,24,0
2015-08-18,Matt Hill,39,0
2015-08-18,Lois Maynard,52,0
2015-08-22,Steven Jennings,88,0
2015-08-29,Jay Harris,58,0
2015-08-31,Adam Mekki,42,0
2015-08-31,Martin Riley,78,0
