game_date,player_name,goal_no,goal_min,added_time,penalty,own_goal
2012-08-18,Michael Symes,1,88,0,1,0
2012-08-25,Marvin Morgan,1,45,2,0,0
2012-10-02,Karl Hawley,1,15,0,0,0
2012-10-13,Patrick Madden,1,9,0,0,0
2012-10-13,Sam Foley,1,29,0,0,0
2012-10-20,Ben Gibson,1,53,0,0,1
2012-10-20,Harry Arter,1,58,0,0,0
2012-10-20,Simon Francis,1,72,0,0,0
2012-10-23,Billy Paynter,1,48,0,0,0
2012-10-23,Iain Hume,1,90,2,0,0
2012-10-27,Paul Huntington,1,50,0,0,0
2012-12-08,Gabor Gyepes,1,50,0,0,0
2012-12-08,Jake Jervis,1,75,0,0,0
2012-12-21,Danny Hollands,1,4,0,0,0
2012-12-21,Raffaele De Vita,1,7,0,0,0
2012-12-21,Andy Williams,1,21,0,0,0
2012-12-21,Matt Ritchie,1,33,0,0,0
2012-12-21,Andy Williams,2,51,0,0,0
2012-12-26,Bradden Inman,1,12,0,0,0
2013-01-16,Leon Clarke,1,20,0,0,0
2013-01-19,Harlee Dean,1,50,0,0,0
2013-02-02,Rory Loy,1,44,0,0,0
2013-02-09,Charlie MacDonald,1,9,0,0,0
2013-02-09,Martin Rowlands,1,67,0,0,0
2013-02-15,Chris Porter,1,10,0,0,0
2013-02-15,Cameron Gayle,1,67,0,0,0
2013-02-19,James Collins,1,48,0,0,0
2013-02-19,Gary Roberts,1,71,0,0,0
2013-02-19,Gary Roberts,2,90,3,0,0
2013-02-23,Magnus Okuonghae,1,29,0,0,0
2013-02-26,Neal Bishop,1,74,0,0,0
2013-03-02,Edward Upson,1,58,0,0,0
2013-03-12,William Grigg,1,50,0,1,0
2013-03-12,Craig Westcarr,1,57,0,0,0
2013-03-16,Dean Lewington,1,9,0,0,0
2013-03-16,Stephen Gleeson,1,43,0,0,0
2013-03-16,Darren Potter,1,51,0,0,0
2013-03-24,Luke Freeman,1,12,0,0,0
2013-03-29,Ash Taylor,1,42,0,0,1
2013-04-01,David Connolly,1,53,0,0,0
2013-04-06,Rob Jones,1,63,0,0,0
2013-04-13,Neil Austin,1,10,0,0,0
2013-04-20,Jeffrey Monakana,1,45,3,0,0
2013-08-03,Craig Westcarr,1,4,0,0,0
2013-08-03,Milan Lalkovic,1,25,0,0,0
2013-08-03,Craig Westcarr,2,71,0,0,0
2013-09-03,Jamille Matt,1,48,0,0,0
2013-09-03,Jamille Matt,2,66,0,0,0
2013-10-05,Dany N'Guessan,1,29,0,1,0
2013-10-19,Kevin Lisbie,1,22,0,0,0
2013-10-19,Kevin Lisbie,2,61,0,0,0
2013-10-19,Dean Cox,1,78,0,0,0
2013-10-19,Shaun Batt,1,85,0,0,0
2013-10-22,Kieran Agard,1,60,0,0,0
2013-10-26,Daniel Powell,1,39,0,0,0
2013-10-26,Jason Banton,1,49,0,0,0
2013-11-02,Joe Garner,1,90,1,0,0
2013-12-07,Britt Assombalonga,1,38,0,0,0
2013-12-07,Shaun Jeffers,1,45,3,0,0
2013-12-07,Britt Assombalonga,2,64,0,0,0
2013-12-07,Britt Assombalonga,3,73,0,0,0
2013-12-07,Shaun Jeffers,2,90,2,0,0
2014-01-01,David Edwards,1,55,0,0,0
2014-01-11,Milan Lalkovic,1,19,0,0,0
2014-01-18,Britt Assombalonga,1,5,0,1,0
2014-01-18,Nicholas Ajose,1,75,0,0,0
2014-01-18,Britt Assombalonga,2,87,0,0,0
2014-01-28,Alex Revell,1,39,0,0,0
2014-01-28,Alex Revell,2,65,0,0,0
2014-02-08,Joe Garner,1,18,0,0,0
2014-02-08,Joe Garner,2,52,0,0,0
2014-02-15,Sam Baldock,1,13,0,0,0
2014-02-15,Derrick Williams,1,78,0,0,0
2014-02-22,Michael Petrasso,1,79,0,0,0
2014-03-01,James Wesolowski,1,12,0,0,0
2014-03-01,Liam Ridehalgh,1,59,0,0,1
2014-03-08,Jimmy Smith,1,21,0,0,0
2014-03-08,Darius Charles,1,71,0,0,0
2014-03-08,John Mousinho,1,74,0,0,0
2014-03-11,James Tarkowski,1,62,0,0,0
2014-03-11,Clayton Donaldson,1,74,0,0,0
2014-03-15,Ronan Murray,1,14,0,0,0
2014-03-15,Alan Sheehan,1,61,0,0,0
2014-03-22,Tom Pope,1,3,0,0,0
2014-03-22,Billy Knott,1,47,0,0,0
2014-03-22,Ben Williamson,1,56,0,0,0
2014-03-25,Alex Smith,1,12,0,0,0
2014-03-25,Miles Storey,1,68,0,0,0
2014-04-05,Freddie Sears,1,45,0,0,0
2014-04-12,Paul Parry,1,73,0,0,0
2014-04-15,Matt Tubbs,1,37,0,0,0
2014-04-15,Gwion Edwards,1,86,0,0,0
2014-04-18,Bradley Dack,1,78,0,0,0
2014-04-18,Cody McDonald,1,90,3,0,0
2014-04-26,Kevin Lisbie,1,44,0,0,0
2014-04-26,Chris Dagnall,1,77,0,0,0
2014-05-03,Jon Stead,1,81,0,0,0
2014-05-03,Aaron McLean,1,87,0,0,0
2014-08-09,Keith Lowe,1,67,0,0,0
2014-09-06,James Gray,1,8,0,1,0
2014-09-06,James Gray,2,78,0,0,0
2014-09-06,Kal Naismith,1,82,0,0,0
2014-09-20,Graham Cummins,1,6,0,0,0
2014-09-20,Jordan Moore-Taylor,1,69,0,0,0
2014-09-27,David Amoo,1,72,0,0,0
2014-10-04,Kelvin Etuhu,1,55,0,0,0
2014-10-04,Daniel Nardiello,1,87,0,0,0
2014-11-01,Michael Ihiekwe,1,14,0,0,1
2014-11-01,Lee Barnard,1,64,0,0,0
2014-12-06,Tyrone Barnett,1,59,0,0,0
2014-12-06,Tyrone Barnett,2,64,0,0,0
