type,timeElapsed,addedTime,penalty,ownGoal,displayTime,first,full,abbreviation,last,score,halfTime,fullTime,extraTime,shootout,aggregate,aggregateGoalsAway,team,team_name,date,home_goal,away_goal,home_score,away_score,trfc_score,opp_score
goal,34,0,False,False,34',Zoumana,Zoumana Bakayogo,Bakayogo,Bakayogo,3,1,3,,,,,homeTeam,Tranmere Rovers,2012-08-18T15:00:00+01:00,1,0,1,0,1,0
goal,57,0,False,False,57',Jean-Louis,Jean-Louis Akpa Akpro,Akpa Akpro,Akpa Akpro,3,1,3,,,,,homeTeam,Tranmere Rovers,2012-08-18T15:00:00+01:00,1,0,2,0,2,0
goal,65,0,False,False,65',Jean-Louis,Jean-Louis Akpa Akpro,Akpa Akpro,Akpa Akpro,3,1,3,,,,,homeTeam,Tranmere Rovers,2012-08-18T15:00:00+01:00,1,0,3,0,3,0
goal,88,0,True,False,88',Michael,Michael Symes,Symes,Symes,1,0,1,,,,,awayTeam,Leyton Orient,2012-08-18T15:00:00+01:00,0,1,3,1,1,1
goal,12,0,False,False,12',Andy,Andy Robinson,Robinson,Robinson,3,2,3,,,,,awayTeam,Tranmere Rovers,2012-08-21T19:45:00+01:00,0,1,0,1,1,1
goal,19,0,False,False,19',Andy,Andy Robinson,Robinson,Robinson,3,2,3,,,,,awayTeam,Tranmere Rovers,2012-08-21T19:45:00+01:00,0,1,0,2,2,2
goal,66,0,False,False,66',Andy,Andy Robinson,Robinson,Robinson,3,2,3,,,,,awayTeam,Tranmere Rovers,2012-08-21T19:45:00+01:00,0,1,0,3,3,3
goal,45,2,False,False,45'+2,Marvin,Marvin Morgan,Morgan,Morgan,1,1,1,,,,,homeTeam,Shrewsbury Town,2012-08-25T15:00:00+01:00,1,0,1,0,0,1
goal,88,0,False,False,88',Jean-Louis,Jean-Louis Akpa Akpro,Akpa Akpro,Akpa Akpro,1,0,1,,,,,awayTeam,Tranmere Rovers,2012-08-25T15:00:00+01:00,0,1,1,1,1,1
goal,40,0,False,False,40',Jake,Jake Cassidy,Cassidy,Cassidy,4,1,4,,,,,homeTeam,Tranmere Rovers,2012-09-01T15:00:00+01:00,1,0,1,0,1,0
goal,49,0,False,False,49',Jake,Jake Cassidy,Cassidy,Cassidy,4,1,4,,,,,homeTeam,Tranmere Rovers,2012-09-01T15:00:00+01:00,1,0,2,0,2,0
goal,58,0,False,False,58',Zoumana,Zoumana Bakayogo,Bakayogo,Bakayogo,4,1,4,,,,,homeTeam,Tranmere Rovers,2012-09-01T15:00:00+01:00,1,0,3,0,3,0
goal,77,0,False,False,77',Jake,Jake Cassidy,Cassidy,Cassidy,4,1,4,,,,,homeTeam,Tranmere Rovers,2012-09-01T15:00:00+01:00,1,0,4,0,4,0
goal,15,0,False,False,15',Karl,Karl Hawley,Hawley,Hawley,1,1,1,,,,,homeTeam,Scunthorpe United,2012-10-02T19:45:00+01:00,1,0,1,0,0,1
goal,64,0,False,False,64',James,James Wallace,Wallace,Wallace,3,0,3,,,,,awayTeam,Tranmere Rovers,2012-10-02T19:45:00+01:00,0,1,1,1,1,1
goal,66,0,False,False,66',Jean-Louis,Jean-Louis Akpa Akpro,Akpa Akpro,Akpa Akpro,3,0,3,,,,,awayTeam,Tranmere Rovers,2012-10-02T19:45:00+01:00,0,1,1,2,2,2
