game_date,player_name,goal_no,goal_min,added_time,penalty,own_goal
2012-08-18,Zoumana Bakayogo,1,34,0,0,0
2012-08-18,Jean-Louis Akpa Akpro,1,57,0,0,0
2012-08-18,Jean-Louis Akpa Akpro,2,65,0,0,0
2012-08-21,Andy Robinson,1,12,0,0,0
2012-08-21,Andy Robinson,2,19,0,0,0
2012-08-21,Andy Robinson,3,66,0,0,0
2012-08-25,Jean-Louis Akpa Akpro,1,88,0,0,0
2012-09-01,Jake Cassidy,1,40,0,0,0
2012-09-01,Jake Cassidy,2,49,0,0,0
2012-09-01,Zoumana Bakayogo,1,58,0,0,0
2012-09-01,Jake Cassidy,3,77,0,0,0
2012-10-02,James Wallace,1,64,0,0,0
2012-10-02,Jean-Louis Akpa Akpro,1,66,0,0,0
2012-10-02,Jean-Louis Akpa Akpro,2,88,0,0,0
2012-10-06,Joe Thompson,1,22,0,0,0
2012-10-13,James Wallace,1,45,0,0,0
2012-10-13,Jake Cassidy,1,51,0,0,0
2012-10-13,Danny Holmes,1,78,0,0,0
2012-10-20,Jake Jervis,1,39,0,0,0
2012-10-23,Jake Cassidy,1,87,0,0,0
2012-10-27,Jake Cassidy,1,85,0,0,0
2012-11-07,Andy Robinson,1,79,0,1,0
2012-11-07,Cole Stockton,1,90,3,0,0
2012-11-10,Adam McGurk,1,54,0,0,0
2012-12-08,Ash Taylor,1,31,0,0,0
2012-12-08,Michael O'Halloran,1,74,0,0,0
2012-12-26,Adam McGurk,1,58,0,0,0
2012-12-26,Max Power,1,63,0,0,0
2012-12-29,Cole Stockton,1,59,0,0,0
2013-01-01,Andy Robinson,1,56,0,0,0
2013-01-12,David Amoo,1,30,0,0,0
2013-01-12,Zoumana Bakayogo,1,39,0,0,0
2013-01-19,Andy Robinson,1,42,0,1,0
2013-01-19,Adam McGurk,1,66,0,0,0
2013-02-09,Michael O'Halloran,1,75,0,0,0
2013-02-19,Donervon Daniels,1,78,0,0,0
2013-02-23,Max Power,1,11,0,0,0
2013-02-23,Jean-Louis Akpa Akpro,1,41,0,0,0
2013-02-23,Ash Taylor,1,65,0,0,0
2013-02-23,Cole Stockton,1,85,0,0,0
2013-02-23,Michael O'Halloran,1,90,1,1,0
2013-02-26,Abdulai Bell-Baggie,1,29,0,0,0
2013-03-09,Max Power,1,61,0,0,0
2013-03-24,Zoumana Bakayogo,1,10,0,0,0
2013-03-24,Ben Gibson,1,16,0,0,0
2013-03-24,Zoumana Bakayogo,2,38,0,0,0
2013-08-03,Andy Robinson,1,40,0,0,0
2013-09-03,Evan Horwood,1,37,0,0,0
2013-10-13,Ryan Lowe,1,69,0,0,0
2013-10-22,Ryan Lowe,1,84,0,1,0
2013-10-26,Ryan Lowe,1,7,0,0,0
2013-10-26,Ryan Lowe,2,66,0,1,0
2013-10-26,James Rowe,1,84,0,0,0
2013-11-02,Chris Atkinson,1,55,0,0,0
2014-01-01,Ryan Lowe,1,34,0,0,0
2014-01-11,Cole Stockton,1,78,0,0,0
2014-01-25,Matthew Pennington,1,28,0,0,0
2014-01-28,Andy Robinson,1,90,0,0,0
2014-02-01,Ryan Lowe,1,90,1,0,0
2014-02-08,Ash Taylor,1,45,1,0,0
2014-02-15,Jake Cassidy,1,19,0,0,0
2014-02-15,Jason Koumas,1,80,0,0,0
2014-02-22,Ryan Lowe,1,12,0,1,0
2014-02-22,James Wallace,1,48,0,0,0
2014-02-22,Jake Kirby,1,64,0,0,0
2014-03-01,Jonathan Grounds,1,31,0,0,1
2014-03-01,Ryan Lowe,1,76,0,0,0
2014-03-08,Curtis Obeng,1,88,0,0,1
2014-03-15,Jason Koumas,1,25,0,0,0
2014-03-15,Ryan Lowe,1,28,0,0,0
2014-03-15,Steven Jennings,1,84,0,0,0
2014-03-22,Ash Taylor,1,58,0,0,0
2014-03-22,Jason Koumas,1,60,0,0,0
2014-03-25,Max Power,1,15,0,0,0
2014-04-05,Jean-Louis Akpa-Akpro,1,36,0,0,0
2014-04-05,Ryan Lowe,1,63,0,0,0
2014-04-12,Max Power,1,19,0,0,0
2014-04-12,Junior Brown,1,85,0,0,0
2014-05-03,Matthew Pennington,1,7,0,0,0
2014-08-09,James Rowe,1,90,4,0,0
2014-09-06,Abdulai Bell-Baggie,1,46,0,0,0
2014-09-06,Abdulai Bell-Baggie,2,70,0,0,0
2014-09-20,Danny Holmes,1,25,0,0,0
2014-11-01,Steven Jennings,1,66,0,0,0
2014-11-01,Michael Ihiekwe,1,90,6,0,0
2014-12-06,Cole Stockton,1,33,0,0,0
2014-12-06,Jason Koumas,1,76,0,0,0
2015-01-03,Max Power,1,70,0,0,0
2015-01-03,Cole Stockton,1,83,0,0,0
