game_date,player_name,min_so
2019-08-20,Oliver Banks,57
2019-08-20,Corey Taylor,48
2019-10-05,Connor Jennings,45
2019-12-14,Corey Taylor,40
2020-01-29,Emmanuel Monthe,84
2019-11-20,Kane Wilson,41
2020-10-17,Paul Lewis,52
2021-04-13,Jay Spearing,74
2021-08-07,Chris Merrie,86
2021-09-18,Jay Spearing,45
2021-09-25,Calum MacDonald,87
2022-04-02,Calum MacDonald,40
2022-04-02,Kieron Morris,90
2022-11-12,Jordan Turnbull,90
2022-11-19,Dynel Simeu,30
2013-02-02,Jean-Louis Akpa Akpro,36
2013-02-15,Liam Palmer,6
2013-08-17,Danny Holmes,33
2013-08-24,Andrai Jones,38
2013-09-28,Liam Ridehalgh,32
2013-10-19,Ian Goodison,64
2013-11-23,Ash Taylor,78
2013-12-20,Jimmy McNulty,56
2014-01-01,James Wallace,45
2014-05-03,Junior Brown,31
2014-12-26,Liam Ridehalgh,23
2015-03-17,Steven Jennings,79
2014-11-08,George Donnelly,62
2015-09-05,Ritchie Sutton,72
2015-10-10,Lois Maynard,50
2016-09-13,Jeff Hughes,54
2016-10-01,Michael Ihiekwe,54
2016-11-12,Ben Tollitt,64
2017-02-11,Adam Buxton,56
2017-08-05,Steve McNulty,54
2017-08-05,James Norwood,85
2017-09-16,Jay McEveley,48
2018-01-13,Andy Cook,81
2017-11-15,Jay Harris,25
2018-05-12,Liam Ridehalgh,1
2018-08-18,Jay Harris,17
2018-10-02,James Norwood,90
2019-01-26,Oliver Banks,37
